IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE
2021,"BOARDWALK LOUISIANA MIDSTREAM, LLC",30.31801,-91.30951,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,32.43749,-100.44141,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,OVERFILL OR OVERFLOW
2021,"NUSTAR LOGISTICS, L.P.",35.25701,-100.92478,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,37.0505,-88.328,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"SCM OPERATIONS, LLC",31.049119,-103.730864,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"KINDER MORGAN LIQUID TERMINALS, LLC",29.73189,-95.20501,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"SFPP, LP",33.845105,-118.230477,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"PLAINS PIPELINE, L.P.",31.79256,-103.13336,CRUDE OIL,YES,CARBON STEEL,OTHER
2021,"EXPRESS HOLDINGS (USA), LLC",42.22516,-104.691766,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,40.31882,-76.03759,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,29.719145,-95.060492,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,TORRANCE VALLEY PIPELINE COMPANY LLC,35.0764469,-119.3883459,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,32.6519,-103.1398,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,KINDER MORGAN CO2 CO. LLC,33.60751,-104.08182,CO2 (CARBON DIOXIDE),NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"WINK TO WEBSTER PIPELINE, LLC",30.2787778,-96.9438611,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,COLONIAL PIPELINE CO,30.528829,-91.746864,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,30.08247,-90.92077,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"WESTERN REFINING LOGISTICS, LP",31.806306,-103.814611,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,31.919713,-101.314013,CRUDE OIL,YES,CARBON STEEL,OVERFILL OR OVERFLOW
2021,IMTT-BAYONNE,40.64944,-74.14049,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,MARATHON PIPE LINE LLC,37.86345,-85.71671,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,29.91285,-94.008,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,OVERFILL OR OVERFLOW
2021,"PAR HAWAII REFINING, LLC",21.391835,-157.973109,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"MAGELLAN PIPELINE COMPANY, LP",29.727059,-95.199526,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,32.4823,-94.83008,CRUDE OIL,NO,CARBON STEEL,OVERFILL OR OVERFLOW
2021,PHILLIPS 66 PIPELINE LLC,35.8072993,-101.6419247,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,HARVEST MIDSTREAM COMPANY,28.84714,-98.08643,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,CITGO REFINING & CHEMICAL CO. L.P.,27.82173,-97.43572,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"SHELL PIPELINE CO., L.P.",30.84063889,-118.2511111,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,31.6561,-102.248111,CRUDE OIL,NO,CARBON STEEL,OVERFILL OR OVERFLOW
2021,"KINDER MORGAN LIQUID TERMINALS, LLC",29.72743,-95.200218,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"SAN MATEO BLACK RIVER OIL PIPELINE, LLC",32.426607,-104.083216,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,33.26319,-92.62774,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,28.587479,-96.916622,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,35.94856,-96.75931,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,30.126916,-95.198096,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,PHILLIPS 66 PIPELINE LLC,30.152075,-93.340114,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,MECHANICAL PUNCTURE
2021,WEST COAST TERMINAL PIPELINE  (WCTP),33.8,-118.23,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"EPIC CONSOLIDATED OPERATIONS, LLC",27.8271056,-97.61775555,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,32.07215,-96.470688,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,29.910874,-94.010014,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,32.02,-102.0162,CRUDE OIL,NO,CARBON STEEL,OVERFILL OR OVERFLOW
