,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2037,2016,IMTT-BAYONNE,40.65728842,-74.11015157,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,40.659355,-74.110711,0.96,nearest_street,154,E 22nd St,,,Bayonne,NJ,Hudson County,7002,US,TIGER/Line® dataset from the US Census Bureau,0.0
2038,2016,IMTT-BAYONNE,40.6581344,-74.10840926,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,40.659517,-74.10978,0.99,rooftop,187,E 22nd St,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2041,2016,"BUCKEYE PARTNERS, LP",39.846715,-75.256348,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4.76,0.0,4.12,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,39.844992,-75.250007,0.94,nearest_street,789,Clonmell Rd,,,Paulsboro,NJ,Gloucester County,8066,US,TIGER/Line® dataset from the US Census Bureau,0.6399999999999997
2043,2016,IMTT-BAYONNE,40.66506,-74.10953,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,359.0,0.0,300.0,NO,,NO,,NO,CARBON STEEL,MECHANICAL PUNCTURE,,40.665218,-74.109819,1.0,rooftop,108,E 28th St,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",59.0
2046,2016,"BUCKEYE PARTNERS, LP",40.61154,-74.24035,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.6,0.0,0.6,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.611281,-74.241508,0.99,rooftop,1280,Lower Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2047,2016,"KINDER MORGAN LIQUID TERMINALS, LLC",40.59064,-74.21945,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.8,0.0,0.8,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,40.587227,-74.218749,0.95,nearest_street,65,Beverly St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,0.0
2092,2016,SUNOCO PIPELINE L.P.,39.8653,-75.1379,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.4,0.0,1.4,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,39.866331,-75.136787,0.99,rooftop,312,Chestnut St,,,Williamstown,NJ,Gloucester County,8094,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2095,2016,IMTT-BAYONNE,40.661111,-74.110595,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,519.0,0.0,200.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,40.66111,-74.111609,0.99,rooftop,51,Mechanic St,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",319.0
2164,2015,"BUCKEYE PARTNERS, LP",40.56473,-74.250181,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.12,0.0,0.12,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,40.564569,-74.250834,1.0,rooftop,750,Cliff Rd,,,Port Reading,NJ,Middlesex County,7064,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
2198,2015,"KINDER MORGAN LIQUID TERMINALS, LLC",40.523327,-74.256013,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,40.52253,-74.254623,0.99,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.2
