,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
3711,2012,"MAGELLAN PIPELINE COMPANY, LP",41.95138,-88.27772,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,12.0,0.0,12.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,41.952024,-88.277627,1.0,rooftop,33W770,Army Trail Rd,,,Wayne,IL,Kane County,60184,US,Kane,0.0
3713,2012,EXPLORER PIPELINE CO,38.82204498,-90.07891101,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,11.0,0.0,11.0,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,38.821295,-90.089402,0.92,nearest_street,1398,Robbins Rd,,,Hartford,IL,Madison County,62048,US,TIGER/Line® dataset from the US Census Bureau,0.0
3732,2012,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",41.49188,-87.91791,CRUDE OIL,1500.0,0.0,255.0,YES,2.0,YES,3.0,YES,CARBON STEEL,OTHER,,41.491933,-87.917903,1.0,rooftop,V,S Center Ave,,,New Lenox,IL,Will County,60451,US,Will,1245.0
3777,2012,ENBRIDGE STORAGE (PATOKA) L.L.C.,38.78778,-89.08389,CRUDE OIL,0.17,0.0,0.17,NO,,NO,,NO,,LEAK,CRACK,38.786874,-89.083728,0.97,nearest_street,1262,Dickey Pond Rd,,,Vernon,IL,Marion County,62892,US,TIGER/Line® dataset from the US Census Bureau,0.0
3830,2011,MARATHON PIPE LINE LLC,39.711344,-88.85166,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.01,0.0,0.01,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,39.711748,-88.85076,0.98,nearest_street,6163,E Andrews Street Rd,,,Dalton City,IL,Macon County,61925,US,TIGER/Line® dataset from the US Census Bureau,0.0
3833,2011,WEST SHORE PIPELINE CO,41.659288,-87.569198,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,16.6,0.0,16.6,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,41.659817,-87.57071,0.99,rooftop,2240,E 130th St,,,Chicago,IL,Cook County,60633,US,Cook,0.0
3846,2011,KINDER MORGAN COCHIN LLC,41.60720541,-89.7349367,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5648.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,MECHANICAL PUNCTURE,,41.607999,-89.737645,0.96,nearest_street,1602,Roscoe Rd,,,Deer Grove,IL,Whiteside County,61243,US,TIGER/Line® dataset from the US Census Bureau,5648.0
3858,2011,"MAGELLAN PIPELINE COMPANY, LP",41.93805,-87.89138,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.48,0.0,0.48,NO,,NO,,NO,,LEAK,OTHER,41.93921,-87.890961,0.99,rooftop,10601,Franklin Ave,,,Franklin Park,IL,Cook County,60131,US,Cook,0.0
3866,2011,"MAGELLAN PIPELINE COMPANY, LP",41.93805,-87.89138,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.95,0.0,5.95,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,41.93921,-87.890961,0.99,rooftop,10601,Franklin Ave,,,Franklin Park,IL,Cook County,60131,US,Cook,0.0
3878,2011,BP PIPELINE (NORTH AMERICA) INC.,41.5569,-87.8886,CRUDE OIL,10.0,0.0,10.0,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,41.557624,-87.888344,0.99,rooftop,11100,Orland Pkwy,,,Orland Park,IL,Cook County,60467,US,Cook,0.0
3909,2011,MARATHON PIPE LINE LLC,40.111093,-88.319562,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,0.0,0.2,NO,,NO,,NO,,LEAK,SEAL OR PACKING,40.113267,-88.318008,0.96,nearest_street,4910,W Springfield Ave,,,Champaign,IL,Champaign County,61822,US,TIGER/Line® dataset from the US Census Bureau,0.0
3924,2011,"BUCKEYE PARTNERS, LP",39.61412,-89.34578,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,20.0,0.0,20.0,NO,,NO,,YES,CARBON STEEL,OTHER,,39.613087,-89.34413,0.99,rooftop,1812,N 1000 East Rd~,,,Taylorville,IL,Christian County,62568,US,Christian,0.0
3930,2011,MUSTANG PIPE LINE PARTNERS,41.27461,-88.12713,CRUDE OIL,0.14,0.0,0.14,NO,,NO,,YES,,LEAK,SEAL OR PACKING,41.274013,-88.126892,1.0,rooftop,2140,S Water St,,,Wilmington,IL,Will County,60481,US,Will,0.0
3935,2011,ONEOK NGL PIPELINE LP,41.645101,-88.027889,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3.26,0.0,0.0,NO,,NO,,YES,CARBON STEEL,OTHER,,41.645735,-88.027309,0.99,rooftop,2,Valley View Dr,,,Lemont,IL,Cook County,60439,US,Cook,3.26
3960,2011,EXXONMOBIL PIPELINE CO,38.78564,-89.08396,CRUDE OIL,0.9,0.0,0.9,NO,,NO,,,CARBON STEEL,LEAK,PINHOLE,38.786874,-89.083728,0.97,nearest_street,1262,Dickey Pond Rd,,,Vernon,IL,Marion County,62892,US,TIGER/Line® dataset from the US Census Bureau,0.0
