,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
1937,2016,TESORO SOCAL PIPELINE COMPANY LLC,33.80313,-118.252843,CRUDE OIL,15,0,15,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,33.804774,-118.256512,0.95,nearest_street,24400,Wilmington Ave,,,Carson,CA,Los Angeles County,90745,US,TIGER/Line® dataset from the US Census Bureau,0
1950,2016,"SHELL PIPELINE CO., L.P.",37.72926,-121.55971,CRUDE OIL,500,0,400,NO,,NO,,YES,CARBON STEEL,RUPTURE,,37.738733,-121.557542,0.93,nearest_street,,I 580,,,Tracy,CA,Alameda County,95391,US,TIGER/Line® dataset from the US Census Bureau,100
1969,2016,THUMS LONG BEACH CO,33.758661,-118.203322,CRUDE OIL,2.98,0,2.98,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.759484,-118.202698,0.99,rooftop,500,Queens Way Dr,,,Long Beach,CA,Los Angeles County,90802,US,City of Long Beach,0
1989,2016,PHILLIPS 66 PIPELINE LLC,34.723949,-120.433842,CRUDE OIL,18,0,18,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.722948,-120.436267,0.96,nearest_street,2275,Harris Grade Rd,,,Lompoc,CA,Santa Barbara County,93436,US,TIGER/Line® dataset from the US Census Bureau,0
1999,2016,TESORO LOGISTICS OPERATIONS LLC - GOLDEN EAGLE,38.026666,-122.098798,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.5,0,1.5,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,38.02697,-122.097085,0.99,rooftop,2701,Waterfront Rd,,,Martinez,CA,Contra Costa County,94553,US,Contra Costa,0
2012,2016,"SFPP, LP",38.004227,-122.055465,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.19,0,2.19,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,38.003019,-122.055144,0.99,rooftop,5625,Imhoff Dr,,,Concord,CA,Contra Costa County,94520,US,Contra Costa,0
2027,2016,"SHELL PIPELINE CO., L.P.",35.529177,-119.808998,CRUDE OIL,0.14,0,0.14,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,35.529825,-119.808748,1,rooftop,16435,33 Hwy,,,Lost Hills,CA,Kern County,93249,US,Kern,0
2034,2016,TESORO SOCAL PIPELINE COMPANY LLC,33.77596,-118.213997,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,30,0,30,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OVERFILL OR OVERFLOW,,33.776764,-118.213731,0.99,rooftop,1550,W 8th St,,,Long Beach,CA,Los Angeles County,90813,US,Los Angeles,0
2066,2016,TIDELANDS OIL PRODUCTION COMPANY,33.764961,-118.209047,CRUDE OIL,0.5,0,0.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.765407,-118.209125,1,rooftop,192,S Pico Ave,,,Long Beach,CA,Los Angeles County,90802,US,City of Long Beach,0
2094,2016,EXXONMOBIL OIL CORP - WEST COAST,35.225037,-119.55979,CRUDE OIL,0.48,0,0.48,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,35.220672,-119.56889,0.92,nearest_street,25845,W Side Hwy,,,Fellows,CA,Kern County,93224,US,TIGER/Line® dataset from the US Census Bureau,0
