,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2470,2015,ROSE ROCK MIDSTREAM L.P.,36.0146585,-96.755643,CRUDE OIL,0.2,0.0,0.0,NO,,NO,,NO,CARBON STEEL,OTHER,,36.014651,-96.75884,0.96,nearest_street,1101,E0690 Rd,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.2
2475,2015,"ONEOK NGL PIPELINE, LLC",34.12899,-96.46764,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,34.12899,-96.46764,0.17,nearest_place,,,,,Brown,OK,Johnston County,74701,US,TIGER/Line® dataset from the US Census Bureau,5.0
2501,2015,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.93444,-96.752126,CRUDE OIL,0.18,0.0,0.18,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,35.927665,-96.755541,0.93,nearest_street,350599,E0750 Rd,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2509,2015,ENTERPRISE CRUDE PIPELINE LLC,35.948453,-96.762003,CRUDE OIL,0.2,0.0,0.2,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,35.953157,-96.767384,0.93,nearest_street,2698,S Little Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2511,2015,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.936355,-96.750348,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,35.942194,-96.748142,0.94,nearest_street,2213,Texaco Rd Ew 74,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2525,2015,"MAGELLAN AMMONIA PIPELINE, L.P.",36.81045,-97.8319,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.2,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,36.81045,-97.8319,0.09,nearest_place,,,,,Medford,OK,Grant County,73759,US,TIGER/Line® dataset from the US Census Bureau,0.2
2532,2015,"JP ENERGY MARKETING, LLC",33.947489,-97.021931,CRUDE OIL,760.0,0.0,760.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,33.947489,-97.021931,0.1,nearest_place,,,,,Marietta,OK,Love County,73448,US,TIGER/Line® dataset from the US Census Bureau,0.0
2547,2015,"PLAINS MARKETING, L.P.",35.936677,-96.745218,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,35.942194,-96.743324,0.94,nearest_street,2237,Texaco Rd Ew 74,,,Cushing,OK,Lincoln County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2548,2015,"ONEOK NGL PIPELINE, LLC",35.31111,-97.00602,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,6.9,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,35.310113,-97.003783,0.96,nearest_street,71,Yellowbird Trl,,,Shawnee,OK,Pottawatomie County,74801,US,TIGER/Line® dataset from the US Census Bureau,6.9
2560,2015,"ONEOK NGL PIPELINE, LLC",34.816479,-97.442674,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.0,29.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,34.816479,-97.442674,0.24,nearest_place,,,,,Maysville,OK,Garvin County,73057,US,TIGER/Line® dataset from the US Census Bureau,30.0
2566,2015,ENBRIDGE PIPELINES (OZARK) L.L.C.,35.95886,-96.75335,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,35.956672,-96.754438,0.96,nearest_street,1032,E0730 Rd,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
