IYEAR,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE
2021,SUNOCO PIPELINE L.P.,HOUSTON,TX,32.07707,-96.57279,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,77.82,,77.82,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,MIPC LLC,ASTON,PA,40.005542,-75.158569,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,,0,NO,,NO,,NO,CARBON STEEL,MECHANICAL PUNCTURE,
2021,CENTURION PIPELINE L.P.,HOUSTON,TX,32.0022,-102.04707,CRUDE OIL,10,,10,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,"DELEK CRUDE LOGISTICS, LLC.",DALLAS,TX,32.50209,-94.84941,CRUDE OIL,2,,2,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,WEST COAST TERMINAL PIPELINE  (WCTP),HOUSTON,TX,33.803663,-118.233568,CRUDE OIL,3.48,,3.48,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,"MAGELLAN PIPELINE COMPANY, LP",TULSA,OK,41.684012,-91.570311,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4.8,,4.8,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,ENTERPRISE PRODUCTS OPERATING LLC,HOUSTON,TX,29.8542,-94.8917,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,15,0,0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER
2021,"MEDALLION OPERATING COMPANY, LLC",IRVING,TX,31.635009,-101.983946,CRUDE OIL,30,,30,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,PRODUCTS (SE) PIPE LINE CORPORATION,HOUSTON,TX,33.28874,-86.831283,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.8,,1.8,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,ZENITH ENERGY WEST COAST TERMINALS LLC,HOUSTON,TX,33.764578,-118.227986,CRUDE OIL,4.6,,4.6,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",HOUSTON,TX,48.212719,-96.435103,CRUDE OIL,4,,4,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK
2021,"SCM PR, LLC",IRVING,TX,43.648024,-105.641906,CRUDE OIL,200,,160,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,
2021,"FLINT HILLS RESOURCES, LC",WICHITA,KS,27.815376,-97.488726,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3,0,0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"BUCKEYE PARTNERS, LP",BREINIGSVILLE,PA,40.56227,-74.244121,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,50,,50,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,"PLAINS MARKETING, L.P.",HOUSTON,TX,38.794956,-89.069044,CRUDE OIL,10,,9.9,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,"PLAINS PIPELINE, L.P.",HOUSTON,TX,31.673967,-103.755979,CRUDE OIL,0.4,,0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,"PLAINS PIPELINE, L.P.",HOUSTON,TX,31.80016,-103.27248,CRUDE OIL,1.7,,0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER
2021,SUNOCO PIPELINE L.P.,HOUSTON,TX,30.618589,-94.969946,CRUDE OIL,174,,174,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,28.9461,-95.4235,CRUDE OIL,2,,2,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE
2021,ENTERPRISE PRODUCTS OPERATING LLC,HOUSTON,TX,28.585906,-96.918319,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2,1324,0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,"PLAINS PIPELINE, L.P.",HOUSTON,TX,31.991432,-102.445955,CRUDE OIL,33.4,,33.4,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,MARATHON PIPE LINE LLC,FINDLAY,OH,39.32623,-87.89847,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,,0.1,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK
2021,"MAGELLAN PIPELINE COMPANY, LP",TULSA,OK,44.931364,-91.225393,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,55,,48.5,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,"KINDER MORGAN LIQUID TERMINALS, LLC",HOUSTON,TX,29.72504,-95.20074,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5,,5,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,MID - VALLEY PIPELINE CO,HOUSTON,TX,34.461767,-89.565442,CRUDE OIL,15,,15,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,"MAGELLAN PIPELINE COMPANY, LP",TULSA,OK,31.81701472,-102.3341615,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,30,,5.1,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,
