,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
399,2020,SINCLAIR TRANSPORTATION COMPANY,42.245503,-107.573002,CRUDE OIL,2.0,,2.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,42.237409,-107.56622,0.92,nearest_street,1180,Beebe Ave,,,Bairoil,WY,Sweetwater County,82322,US,TIGER/Line® dataset from the US Census Bureau
403,2020,BUTTE PIPELINE CO,42.8359672,-104.3326735,CRUDE OIL,500.0,,500.0,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,,42.82918,-104.32918,0.93,nearest_street,463,Kirtley Rd,,,Lusk,WY,Niobrara County,82225,US,TIGER/Line® dataset from the US Census Bureau
417,2020,"EXPRESS HOLDINGS (USA), LLC",42.864533,-106.408848,CRUDE OIL,0.48,,0.48,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,42.864396,-106.408268,1.0,rooftop,5800,Zero Rd,,,Casper,WY,Natrona County,82604,US,Natrona
421,2020,"PLAINS PIPELINE, L.P.",43.418897,-106.289707,CRUDE OIL,22.2,,22.2,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,43.418897,-106.289707,0.46,nearest_place,,,,,Midwest,WY,Natrona County,82643,US,TIGER/Line® dataset from the US Census Bureau
514,2019,"MAGELLAN PIPELINE COMPANY, LP",41.10698,-104.832188,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.12,,0.12,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,41.107199,-104.833211,0.99,rooftop,1112,S Parsley Blvd,,,Cheyenne,WY,Laramie County,82007,US,Laramie
586,2019,"MAGELLAN PIPELINE COMPANY, LP",41.5229,-104.90965,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.12,,0.12,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CRACK,41.523739,-104.91233,0.96,nearest_street,1906,County Rd 237,,,Cheyenne,WY,Laramie County,82009,US,TIGER/Line® dataset from the US Census Bureau
655,2019,ANADARKO PETROLEUM CORP,41.61568,-108.38449,CRUDE OIL,2250.0,,2250.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,41.611632,-108.383997,0.95,nearest_street,2,Table Rock Rd,,,Point of Rocks,WY,Sweetwater County,82942,US,TIGER/Line® dataset from the US Census Bureau
664,2019,"ONEOK NGL PIPELINE, LLC",42.83009,-104.33393,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.0,0.37,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,42.82918,-104.32918,0.95,nearest_street,463,Kirtley Rd,,,Lusk,WY,Niobrara County,82225,US,TIGER/Line® dataset from the US Census Bureau
691,2019,"EXPRESS HOLDINGS (USA), LLC",42.866095,-106.417519,CRUDE OIL,4.0,,4.0,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,42.863149,-106.41751,0.95,nearest_street,6397,W Zero Rd,,,Casper,WY,Natrona County,82604,US,TIGER/Line® dataset from the US Census Bureau
771,2019,BELLE FOURCHE PIPELINE CO,44.293682,-105.066773,CRUDE OIL,3.0,,3.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,OTHER,,44.294351,-105.066781,1.0,rooftop,7,Kaehne Ranch Rd,,,Moorcroft,WY,Crook County,82721,US,City of Sundance
